[INFO] [1635290311.982672]: time = 0.6708, name = left_s0,  value = -0.63814
[INFO] [1635290311.984400]: time = 0.6708, name = left_s1,  value = -0.15225
[INFO] [1635290311.985892]: time = 0.6708, name = left_e0,  value = -0.07517
[INFO] [1635290311.986619]: time = 0.6708, name = left_e1,  value = 1.81201
[INFO] [1635290311.987334]: time = 0.6708, name = left_w0,  value = -0.25924
[INFO] [1635290311.988053]: time = 0.6708, name = left_w1,  value = -0.26269
[INFO] [1635290311.988698]: time = 0.6708, name = left_w2,  value = 2.00721
[INFO] [1635290311.989407]: time = 0.6776, name = right_s0,  value = 0.63430
[INFO] [1635290311.990015]: time = 0.6776, name = right_s1,  value = -0.16490
[INFO] [1635290311.990612]: time = 0.6776, name = right_e0,  value = 0.07977
[INFO] [1635290311.991862]: time = 0.6776, name = right_e1,  value = 1.81278
[INFO] [1635290311.992294]: time = 0.6776, name = right_w0,  value = 0.20594
[INFO] [1635290311.992590]: time = 0.6776, name = right_w1,  value = -0.22626
[INFO] [1635290311.992882]: time = 0.6776, name = right_w2,  value = -2.00530
[INFO] [1635290311.993311]: time = 0.6816, name = left_s0,  value = -0.63852
[INFO] [1635290311.993566]: time = 0.6816, name = left_s1,  value = -0.15225
[INFO] [1635290311.993816]: time = 0.6816, name = left_e0,  value = -0.07555
[INFO] [1635290311.994057]: time = 0.6816, name = left_e1,  value = 1.81125
[INFO] [1635290311.994294]: time = 0.6816, name = left_w0,  value = -0.25656
[INFO] [1635290311.994508]: time = 0.6816, name = left_w1,  value = -0.26538
[INFO] [1635290311.994721]: time = 0.6816, name = left_w2,  value = 2.00760
[INFO] [1635290311.994941]: time = 0.6832, name = right_s0,  value = 0.63430
[INFO] [1635290311.995170]: time = 0.6832, name = right_s1,  value = -0.16337
[INFO] [1635290311.995385]: time = 0.6832, name = right_e0,  value = 0.08015
[INFO] [1635290311.995603]: time = 0.6832, name = right_e1,  value = 1.81278
[INFO] [1635290311.995810]: time = 0.6832, name = right_w0,  value = 0.20325
[INFO] [1635290311.996019]: time = 0.6832, name = right_w1,  value = -0.22665
[INFO] [1635290311.996223]: time = 0.6832, name = right_w2,  value = -2.00530
[INFO] [1635290312.001018]: time = 0.6893, name = left_s0,  value = -0.63814
[INFO] [1635290312.001317]: time = 0.6893, name = left_s1,  value = -0.15340
[INFO] [1635290312.001822]: time = 0.6893, name = left_e0,  value = -0.07632
[INFO] [1635290312.002177]: time = 0.6893, name = left_e1,  value = 1.81240
[INFO] [1635290312.002454]: time = 0.6893, name = left_w0,  value = -0.25311
[INFO] [1635290312.002730]: time = 0.6893, name = left_w1,  value = -0.26845
[INFO] [1635290312.002997]: time = 0.6893, name = left_w2,  value = 2.00798
[INFO] [1635290312.003275]: time = 0.6916, name = right_s0,  value = 0.63507
[INFO] [1635290312.003504]: time = 0.6916, name = right_s1,  value = -0.16414
[INFO] [1635290312.003738]: time = 0.6916, name = right_e0,  value = 0.08053
[INFO] [1635290312.003952]: time = 0.6916, name = right_e1,  value = 1.81393
[INFO] [1635290312.004175]: time = 0.6916, name = right_w0,  value = 0.19788
[INFO] [1635290312.004401]: time = 0.6916, name = right_w1,  value = -0.23048
[INFO] [1635290312.004628]: time = 0.6916, name = right_w2,  value = -2.00491
[INFO] [1635290312.011134]: time = 0.6994, name = left_s0,  value = -0.63775
[INFO] [1635290312.012183]: time = 0.6994, name = left_s1,  value = -0.15263
[INFO] [1635290312.012523]: time = 0.6994, name = left_e0,  value = -0.07785
[INFO] [1635290312.012840]: time = 0.6994, name = left_e1,  value = 1.81278
[INFO] [1635290312.013147]: time = 0.6994, name = left_w0,  value = -0.24850
[INFO] [1635290312.013451]: time = 0.6994, name = left_w1,  value = -0.27305
[INFO] [1635290312.013755]: time = 0.6994, name = left_w2,  value = 2.00683
[INFO] [1635290312.014079]: time = 0.7024, name = right_s0,  value = 0.63430
[INFO] [1635290312.014382]: time = 0.7024, name = right_s1,  value = -0.16414
[INFO] [1635290312.014698]: time = 0.7024, name = right_e0,  value = 0.08130
